,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
0,LogisticRegression,10,10,0.6479468599033816,0.5982205087852899,0.5739130434782609,0.5629608141443835,0.5963525257298887,"O2Hb_max, HHb_max, O2Hb_mean, O2Hb_median, HHb_mean, O2Hb_min, tHb_mean, HHb_std, HHb_median, HHb_min, tHb_median, tHb_min, tHb_max, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.12255953399129209)), ('HHb_max', np.float64(0.09944588578640805)), ('O2Hb_mean', np.float64(0.0951448291174674)), ('O2Hb_median', np.float64(0.09140104313685957)), ('HHb_mean', np.float64(0.07548092886620426)), ('O2Hb_min', np.float64(0.07166742365835407)), ('tHb_mean', np.float64(0.06372345478737657)), ('HHb_std', np.float64(0.0595194204960152)), ('HHb_median', np.float64(0.057640823662234275)), ('HHb_min', np.float64(0.05332491027826271)), ('tHb_median', np.float64(0.05170270843457707)), ('tHb_min', np.float64(0.04879181676009249)), ('tHb_max', np.float64(0.04326578507359309)), ('O2Hb_std', np.float64(0.03902753110670116)), ('tHb_std', np.float64(0.02730390484456175))]",15
1,SVC,10,10,0.7542270531400966,0.6595509962517262,0.6108695652173913,0.6002465299654428,0.6147326585801303,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304))]",7
2,RandomForest,10,10,0.660024154589372,0.5976451410601699,0.5554347826086956,0.5661310045897318,0.60183981831548,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304))]",7
3,KNN,10,10,0.6322463768115941,0.5899057396417215,0.5590579710144928,0.5699219081572023,0.5986498372190716,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304)), ('O2Hb_min', np.float64(194.78941988136734)), ('HHb_max', np.float64(67.97222414999574)), ('HHb_mean', np.float64(59.36814804090115)), ('HHb_median', np.float64(58.605583926620234))]",11
4,DecisionTree,10,10,0.6419082125603865,0.5895980372471145,0.5512681159420291,0.5664381507255759,0.5643115942028986,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212))]",6
5,XGBoost,10,10,0.6527777777777778,0.5982574121587234,0.5617753623188405,0.5713134824940761,0.5878705235244697,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906))]",5
6,LogisticRegression,10,20,0.6026570048309179,0.5400593328427311,0.49492753623188407,0.4998228458049887,0.4990285654274313,"O2Hb_median, O2Hb_max, O2Hb_mean, HHb_max, HHb_mean, HHb_std, O2Hb_min, HHb_median, tHb_min, HHb_min, tHb_mean, tHb_median, O2Hb_std, tHb_max, tHb_std",random_forest,"[('O2Hb_median', np.float64(0.10530202202914854)), ('O2Hb_max', np.float64(0.10347756010328421)), ('O2Hb_mean', np.float64(0.09811593301759053)), ('HHb_max', np.float64(0.08327933895634976)), ('HHb_mean', np.float64(0.07311384025041906)), ('HHb_std', np.float64(0.07281410995121994)), ('O2Hb_min', np.float64(0.06732327162211005)), ('HHb_median', np.float64(0.06581596326636019)), ('tHb_min', np.float64(0.05979915651410024)), ('HHb_min', np.float64(0.055345328773177514)), ('tHb_mean', np.float64(0.05123032788623808)), ('tHb_median', np.float64(0.045974918194117455)), ('O2Hb_std', np.float64(0.043391934949143514)), ('tHb_max', np.float64(0.040402365975570745)), ('tHb_std', np.float64(0.03461392851117026))]",15
7,SVC,10,20,0.6896135265700484,0.5780349238224657,0.5032608695652173,0.5029573206800364,0.5201638311279143,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248)), ('O2Hb_median', np.float64(107.27016653632109)), ('O2Hb_min', np.float64(94.55030289682729))]",8
8,RandomForest,10,20,0.611111111111111,0.5591622778901364,0.5210144927536232,0.5329053935732423,0.5122545158580131,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134))]",5
9,KNN,10,20,0.6280193236714976,0.5860459477480754,0.5623188405797102,0.5584854807859503,0.5693459882377652,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248))]",6
