Model,Window,Step,Recall,F1,Precision,ROC_AUC,Accuracy
LogisticRegression,10,10,0.6183574879227053,0.3872166268556912,0.28224350465606834,0.7023877718584713,0.66413839783405
KNN,10,10,0.2928743961352657,0.23421233553384602,0.19612991864647497,0.5214637514082221,0.6718824653607262
LogisticRegression,10,20,0.5760869565217391,0.37169223679473135,0.2783691970682544,0.6874868725057762,0.6633221850613156
DecisionTree,10,20,0.23913043478260868,0.2230579297245964,0.21438061172348344,0.530961791831357,0.7189440993788819
LogisticRegression,10,30,0.539426523297491,0.35038381564341886,0.2601236969116936,0.668316883717508,0.6550868486352357
SVC,10,30,0.3548387096774193,0.2518647789341939,0.1969703302618663,0.5980276227414626,0.6576273189176415
LogisticRegression,10,50,0.5730994152046783,0.36397740112994353,0.2668298266121177,0.6770754637790648,0.6538461538461539
SVC,10,50,0.3859649122807018,0.2543562683425726,0.1924693399476368,0.6115727916281933,0.6494119915172547
RandomForest,10,80,0.24537037037037038,0.2625702847375287,0.2906178489702517,0.5868406285072951,0.7785409035409036
XGBoost,10,90,0.32323232323232326,0.2942626325892676,0.27096636866751805,0.5894899407296101,0.7340992340992342
LogisticRegression,20,10,0.5818070818070818,0.37673012737787487,0.2791416599257259,0.7060192554698049,0.6714970011673308
SVC,20,10,0.3406593406593406,0.2716063830945614,0.22776879914174245,0.6399863872391345,0.6990902870023749
LogisticRegression,20,20,0.5265700483091788,0.3542577644815735,0.270490677257003,0.7300056328884305,0.6962892180283484
SVC,20,20,0.34178743961352653,0.2842329899661204,0.24621449190985611,0.6090226461209448,0.707676381589425
RandomForest,20,30,0.16666666666666666,0.1968822507491226,0.2473856209150327,0.6007578385309915,0.7660404112017015
RandomForest,20,50,0.16959064327485382,0.18046002110856355,0.19716394716394717,0.6092853745208316,0.725660304607673
LogisticRegression,20,80,0.5462962962962963,0.36710239651416127,0.2874228395061728,0.8042227833894501,0.7148962148962149
SVC,20,80,0.3611111111111111,0.28011244520678485,0.23065344617068753,0.5757225028058361,0.6923076923076924
RandomForest,20,80,0.3009259259259259,0.31524086203889157,0.34161616161616165,0.6324880751964085,0.7973137973137973
KNN,20,80,0.375,0.31936420422886297,0.283478967689494,0.6269465488215489,0.7518315018315018
RandomForest,20,90,0.29797979797979796,0.2894888991674376,0.2825268817204301,0.6164120544285834,0.7485847485847485
DecisionTree,20,90,0.24242424242424243,0.21465966657456018,0.19294372294372295,0.5137741046831956,0.6928071928071929
XGBoost,20,90,0.25757575757575757,0.2523809523809524,0.2560041407867495,0.6341096919609316,0.7509157509157509
LogisticRegression,30,10,0.5481481481481482,0.3717522105611393,0.2827818433018982,0.722152388078314,0.6891941391941393
SVC,30,10,0.2771604938271605,0.24840129460438634,0.23215477327091483,0.6219060980172091,0.7147944647944647
XGBoost,30,10,0.20987654320987656,0.25437154179156723,0.343841077891337,0.6841314378351416,0.7937118437118437
SVC,30,20,0.33209876543209876,0.29153615870033783,0.26494605307595226,0.6344269859084674,0.7304843304843306
KNN,30,20,0.30123456790123454,0.2629642105318452,0.24366172895584662,0.559900236937274,0.7163614163614164
XGBoost,30,20,0.2518518518518518,0.29486010465625523,0.3717657715260017,0.7225713929417633,0.7908424908424908
LogisticRegression,30,30,0.4796296296296297,0.3371495739238488,0.26330932798193046,0.6876206509539843,0.6894993894993894
SVC,30,30,0.26296296296296295,0.21278681685440134,0.1834114507046838,0.5740852974186307,0.6818070818070817
RandomForest,30,30,0.1685185185185185,0.20274725274725278,0.25727272727272726,0.6365937149270483,0.7705738705738705
LogisticRegression,30,50,0.4074074074074074,0.28761885758803274,0.22742551566080974,0.6635802469135802,0.6751119251119251
RandomForest,30,50,0.21604938271604937,0.25820134779187903,0.3279220779220779,0.6326536974685123,0.7796092796092796
LogisticRegression,30,80,0.5879629629629629,0.40662931839402433,0.32085537918871254,0.8176557239057239,0.7356532356532357
SVC,30,80,0.40277777777777773,0.3225749559082892,0.2705128205128205,0.6248597081930415,0.7138278388278388
KNN,30,80,0.4212962962962963,0.38823350952731,0.36028034763106254,0.682730078563412,0.7779304029304029
RandomForest,30,90,0.2611111111111111,0.28170041963145415,0.30753968253968256,0.6716414141414142,0.7776556776556776
KNN,30,90,0.22222222222222224,0.19349962207105062,0.17276210379658655,0.5417171717171717,0.7034798534798535
XGBoost,30,90,0.29444444444444445,0.3162558609713081,0.3452380952380952,0.6826767676767677,0.7805860805860805
LogisticRegression,40,10,0.39263420724094883,0.28516853577203155,0.22859200158510673,0.6974906239519294,0.6825739803267893
RandomForest,40,10,0.1441947565543071,0.19073821415682976,0.28310816812558975,0.6025215543900053,0.787957360991069
LogisticRegression,40,20,0.42716049382716054,0.2939594342017214,0.2277858328404907,0.6984636488340192,0.6794464794464794
DecisionTree,40,20,0.20617283950617282,0.23989458756657436,0.28794838749271223,0.5498877665544332,0.7763532763532762
DecisionTree,40,50,0.16666666666666666,0.17532467532467533,0.19756097560975608,0.515993265993266,0.7431827431827432
RandomForest,40,80,0.3101851851851852,0.3810790835181079,0.500515995872033,0.6561272446689114,0.828907203907204
DecisionTree,40,80,0.19907407407407407,0.1969135802469136,0.31666666666666665,0.5452441077441078,0.7661782661782661
